*
*
*AcceptedAggregatedOffersService(B1780) Data
*
*Time Series ID,Business Type,Control Area,Settlement Date,Settlement Period,"Imbalance Quantity (MAW)",Curve Type,Resolution,Document Type,Process Type,Active Flag,Document Status,Document ID,Document RevNum,Imbalance Quantity Direction
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,22,274.8541,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29318364,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,21,148.8136,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29318182,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,20,-72.9499,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29318050,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,19,13.0636,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29317907,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,18,-56.2333,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29317775,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,17,-180.8709,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29317580,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,16,-106.67,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29317417,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,15,-346.1604,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29317219,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,14,137.5691,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29317061,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,13,-133.5998,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316859,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,12,-398.1515,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316672,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2022-06-01,11,-524.7439,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-29316496,1,DEFICIT
